,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"51,40",Sin valoracion,Sin valoraciones
1,Perfumes de hombre,Lattafa,Pride Eternal Oud,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
2,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19
3,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
4,Perfumes de hombre,Versace,Eros Flame,Eau de Parfum para hombre,"53,00€",Sin descuento,"49,80",4.5,6
5,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.3,10
6,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,123
7,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"21,40",4.3,25
8,Perfumes de hombre,Afnan,Supremacy In Oud,Eau de Parfum unisex 100 ml,"51,20€",-15 %,"46,10",4.3,3
9,Perfumes de hombre,Carolina Herrera,212 VIP Black,Eau de Parfum para hombre,Es el precio con desc,Sin descuento,"48,00",Sin valoracion,Sin valoraciones
10,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,80",4.4,18
11,Perfumes de hombre,Afnan,Supremacy Silver,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"37,20",Sin valoracion,Sin valoraciones
12,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
13,Perfumes de hombre,Versace,Pour Homme Oud Noir,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"110,00",Sin valoracion,Sin valoraciones
14,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"56,10",4.9,17
